=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.30 09:54:16 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
1,3,73,37,102,
38696,1,3,73,37,102,70
38788,1,3,72,37,104,70
38879,1,3,72,35,104,70
38970,1,3,72,36,104,68
39061,1,3,71,36,102,68
39152,1,3,72,37,100,70
39243,1,3,73,35,102,70
39335,1,3,80,37,116,70
39425,1,3,80,36,116,72
39516,1,3,80,37,116,70
39606,1,3,80,37,116,70
39697,1,3,73,37,102,70
39786,1,3,75,37,106,70
39877,1,3,79,37,114,70
39968,1,3,78,36,116,68
40058,1,3,74,37,104,74
40139,1,3,69,38,94,72
40226,1,3,80,38,116,72
40316,1,3,80,37,116,74
40407,1,3,79,37,118,74
40498,1,3,79,37,118,74
40590,1,3,79,38,118,72
40681,1,3,80,38,116,72
40773,1,3,81,38,118,72
40864,1,3,81,39,118,74
40956,1,3,80,39,112,74
41047,1,3,83,39,118,74
41138,1,3,80,39,116,74
41229,1,3,79,39,118,74
41321,1,3,76,38,116,72
41413,1,3,77,38,118,72
41504,1,3,79,38,118,72
41596,1,3,79,37,118,74
41687,1,3,80,38,116,72
41779,1,3,79,38,114,76
41869,1,3,83,39,118,74
41959,1,3,77,39,106,74
42049,1,3,83,39,118,74
42135,1,3,83,39,118,74
42227,1,3,83,38,118,72
42318,1,3,81,37,118,74
42410,1,3,81,37,118,74
42501,1,3,81,39,114,74
42589,1,3,80,39,108,74
42680,1,3,78,39,100,74
42771,1,3,88,39,116,74
42862,1,3,88,40,116,76
42953,1,3,88,39,116,74
43044,1,3,88,39,116,74
43136,1,3,88,40,116,80
43227,1,3,79,39,98,78
43318,1,3,88,38,116,72
43409,1,3,87,38,118,72
43500,1,3,86,38,120,76
43590,1,3,86,39,120,74
43681,1,3,86,38,120,72
43771,1,3,86,38,120,76
43863,1,3,86,39,120,74
43954,1,3,86,39,120,74
44045,1,3,86,39,120,74
44136,1,3,86,38,120,72
44227,1,3,86,37,120,74
44318,1,3,84,38,120,72
44409,1,3,84,38,120,72
44501,1,3,83,37,118,74
44592,1,3,83,37,118,74
44676,1,3,84,38,120,72
44767,1,3,85,38,118,76
44857,1,3,87,38,118,76
44944,1,3,88,38,116,72
45033,1,3,81,38,98,72
45123,1,3,86,38,108,72
45213,1,3,91,37,118,74
45304,1,3,91,38,118,72
45392,1,3,82,38,100,76
45482,1,3,90,40,116,76
45569,1,3,90,39,116,78
45656,1,3,90,39,116,78
45743,1,3,86,39,108,78
45833,1,3,90,39,116,78
45924,1,3,82,40,100,76
46011,1,3,86,40,108,76
46100,1,3,81,40,98,76
46191,1,3,80,40,96,76
46281,1,3,80,40,96,76
46371,1,3,80,40,96,76
46459,1,3,79,39,94,78
46549,1,3,80,41,96,78
46631,1,3,76,41,88,78
46719,1,3,88,41,116,78
46808,1,3,88,42,116,80
46899,1,3,89,42,114,80
46990,1,3,78,41,92,78
47081,1,3,78,41,92,78
47170,1,3,77,41,90,78
47259,1,3,79,40,94,76
47347,1,3,90,39,116,78
47438,1,3,90,40,116,76
47528,1,3,90,39,116,74
47619,1,3,90,39,116,74
47702,1,3,77,38,90,72
47791,1,3,90,38,116,72
47881,1,3,90,36,116,72
47972,1,3,82,34,100,68
48063,1,3,91,34,118,64
48154,1,3,90,33,120,62
48241,1,3,90,33,120,62
48332,1,3,90,32,120,64
48423,1,3,91,34,118,64
48514,1,3,91,36,118,68
48605,1,3,91,37,118,70
48696,1,3,92,37,116,70
48787,1,3,91,38,118,72
48876,1,3,90,37,116,70
48967,1,3,81,35,98,70
49057,1,3,82,36,100,68
49148,1,3,90,37,116,70
49235,1,3,85,37,106,70
49325,1,3,84,37,104,70
49416,1,3,90,37,116,70
49506,1,3,91,36,118,68
49597,1,3,91,36,118,68
49688,1,3,91,36,118,68
49778,1,3,91,36,118,68
49868,1,3,92,36,116,68
49959,1,3,91,36,118,68
50051,1,3,91,36,118,68
50139,1,3,91,36,118,68
50229,1,3,91,36,118,68
50319,1,3,91,36,118,72
50408,1,3,90,36,116,72
50499,1,3,82,38,100,72
50589,1,3,88,37,116,74
50680,1,3,81,38,102,76
50770,1,3,88,38,116,76
50858,1,3,88,39,116,74
50938,1,3,76,39,88,74
51023,1,3,80,39,96,74
51114,1,3,90,39,116,74
51204,1,3,82,40,100,76
51295,1,3,80,40,96,76
51384,1,3,89,40,114,76
51475,1,3,78,39,96,78
51565,1,3,79,40,102,76
51656,1,3,78,40,100,76
51745,1,3,80,39,100,78
51836,1,3,88,40,116,76
51926,1,3,89,40,114,76
52017,1,3,80,38,96,76
52108,1,3,80,38,96,76
52198,1,3,80,38,96,76
52289,1,3,90,39,116,74
52379,1,3,80,39,96,74
52469,1,3,90,38,116,76
52559,1,3,90,39,116,74
52650,1,3,90,39,116,74
52740,1,3,90,39,116,74
52831,1,3,90,39,116,74
52922,1,3,90,38,116,76
53013,1,3,90,39,116,74
53103,1,3,90,39,116,74
53195,1,3,82,38,96,72
53284,1,3,81,37,94,74
53373,1,3,80,38,92,72
53462,1,3,79,39,90,74
53552,1,3,91,39,114,78
53643,1,3,81,39,94,78
53734,1,3,81,40,94,76
