=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.30 22:56:39 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
,1,1,44,12,8,8
142521,1,1,44,12,8,8
142753,1,1,44,12,8,8
142985,1,1,44,12,8,8
143216,1,1,44,12,8,8
143447,1,1,44,12,8,8
143679,1,1,44,12,8,8
143911,1,1,44,12,8,8
144143,1,1,44,,8,8
144374,1,1,44,12,8,8
144606,1,1,44,12,8,8
144837,1,1,44,12,8,8
145069,1,1,44,12,8,8
145300,1,1,44,12,8,8
145531,1,1,44,12,8,8
145763,1,1,44,12,8,8
145995,1,1,44,12,8,8
146227,1,1,44,12,8,8
146459,1,1,44,12,8,8
146690,1,1,44,12,8,8
146921,1,1,44,12,8,8
147154,1,1,44,12,8,8
147386,1,1,44,12,8,8
147617,1,1,44,12,8,8
147848,1,1,44,12,8,8
148080,1,1,44,12,8,8
148312,1,1,44,12,8,8
148544,1,1,44,12,8,8
148776,1,1,44,12,8,8
149007,1,1,44,12,8,8
149239,1,1,44,12,8,8
149471,1,1,44,12,8,8
149703,1,1,44,12,8,8
149934,1,1,44,12,8,8
150166,0,-1,-1,-1,-1,-1
150397,0,-1,-1,-1,-1,-1
150629,1,1,44,12,8,8
150861,1,1,44,12,8,8
151092,1,1,44,12,8,8
151323,1,1,44,12,8,8
151555,1,1,44,12,8,8
151787,0,-1,-1,-1,-1,-1
152018,1,1,44,12,8,8
152249,1,1,44,12,8,8
152481,1,1,44,12,8,8
152713,0,-1,-1,-1,-1,-1
152945,1,1,44,12,8,8
153176,1,1,44,12,8,8
153407,1,1,44,12,8,8
153639,1,1,44,12,8,8
153871,1,1,44,12,8,8
154103,1,1,44,12,8,8
154335,0,-1,-1,-1,-1,-1
154566,1,1,44,12,8,8
154797,1,1,44,12,8,8
155030,1,1,44,12,8,8
155262,1,1,44,12,8,8
155493,1,1,44,12,8,8
155724,0,-1,-1,-1,-1,-1
155956,0,-1,-1,-1,-1,-1
156188,0,-1,-1,-1,-1,-1
156420,0,-1,-1,-1,-1,-1
156651,1,1,44,12,8,8
156882,1,1,44,12,8,8
157114,1,1,44,12,8,8
157346,0,-1,-1,-1,-1,-1
157578,0,-1,-1,-1,-1,-1
157809,0,-1,-1,-1,-1,-1
158040,1,1,44,12,8,8
158272,1,1,44,12,8,8
158504,1,1,44,12,8,8
158735,0,-1,-1,-1,-1,-1
158966,1,1,44,12,8,8
159197,1,1,44,12,8,8
159430,1,1,44,12,8,8
159662,0,-1,-1,-1,-1,-1
159893,1,1,44,12,8,8
160124,0,-1,-1,-1,-1,-1
160355,1,1,44,12,8,8
160588,0,-1,-1,-1,-1,-1
160820,0,-1,-1,-1,-1,-1
161051,1,1,44,12,8,8
161282,0,-1,-1,-1,-1,-1
161514,1,1,44,12,8,8
161746,1,1,44,12,8,8
161978,1,1,44,12,8,8
162209,1,1,44,12,8,8
162441,1,1,44,12,8,8
162672,1,1,44,12,8,8
162905,1,1,44,12,8,8
163136,1,1,44,12,8,8
163367,0,-1,-1,-1,-1,-1
163599,0,-1,-1,-1,-1,-1
163830,1,1,44,12,8,8
164062,1,1,44,12,8,8
164294,0,-1,-1,-1,-1,-1
164525,1,1,44,12,8,8
164756,1,1,44,12,8,8
164989,1,1,44,12,8,8
165221,1,1,44,12,8,8
165452,0,-1,-1,-1,-1,-1
165683,0,-1,-1,-1,-1,-1
165914,1,1,44,12,8,8
166146,0,-1,-1,-1,-1,-1
166378,1,1,44,12,8,8
166610,0,-1,-1,-1,-1,-1
166841,0,-1,-1,-1,-1,-1
167072,1,1,44,12,8,8
167305,1,1,44,12,8,8
167537,1,1,44,12,8,8
167768,0,-1,-1,-1,-1,-1
167999,1,1,44,12,8,8
168231,1,1,44,12,8,8
168463,0,-1,-1,-1,-1,-1
168695,1,1,44,12,8,8
168926,1,1,44,12,8,8
169158,0,-1,-1,-1,-1,-1
169389,1,1,44,12,8,8
169622,1,1,44,12,8,8
169853,0,-1,-1,-1,-1,-1
170084,1,1,44,12,8,8
170316,1,1,44,12,8,8
170547,1,1,44,12,8,8
170779,1,1,44,12,8,8
171011,1,1,44,12,8,8
171242,1,1,44,12,8,8
171473,1,1,44,12,8,8
171706,1,1,44,12,8,8
171938,1,1,44,12,8,8
172169,0,-1,-1,-1,-1,-1
172400,0,-1,-1,-1,-1,-1
172631,0,-1,-1,-1,-1,-1
172863,0,-1,-1,-1,-1,-1
173095,0,-1,-1,-1,-1,-1
173326,0,-1,-1,-1,-1,-1
173557,0,-1,-1,-1,-1,-1
173789,0,-1,-1,-1,-1,-1
174021,0,-1,-1,-1,-1,-1
174253,0,-1,-1,-1,-1,-1
174484,0,-1,-1,-1,-1,-1
174716,0,-1,-1,-1,-1,-1
174947,0,-1,-1,-1,-1,-1
175179,0,-1,-1,-1,-1,-1
175411,0,-1,-1,-1,-1,-1
175642,0,-1,-1,-1,-1,-1
175873,1,1,44,12,8,8
176105,1,1,44,12,8,8
176337,1,1,44,12,8,8
176568,1,1,44,12,8,8
176799,1,1,44,12,8,8
177030,1,1,44,12,8,8
177263,1,1,44,12,8,8
177495,1,1,44,12,8,8
177726,1,1,44,12,8,8
177957,1,1,44,12,8,8
178189,1,1,44,12,8,8
178421,1,1,44,12,8,8
178653,1,1,44,12,8,8
178885,1,1,44,12,8,8
179116,1,1,44,12,8,8
179347,1,1,44,12,8,8
179580,1,1,44,12,8,8
179812,1,1,44,12,8,8
180043,1,1,44,12,8,8
180274,1,1,44,12,8,8
180506,1,1,44,12,8,8
180739,1,1,44,12,8,8
180971,1,1,44,12,8,8
181202,1,1,44,12,8,8
181433,1,1,44,12,8,8
181665,1,1,44,12,8,8
181897,1,1,44,12,8,8
182129,1,1,44,12,8,8
182360,1,1,44,12,8,8
182592,1,1,44,12,8,8
182823,1,1,44,12,8,8
183055,1,1,44,12,8,8
183287,1,1,44,12,8,8
183518,1,1,44,12,8,8
183749,1,1,44,12,8,8
183980,1,1,44,12,8,8
184212,1,1,44,12,8,8
184444,1,1,44,12,8,8
184675,1,1,44,12,8,8
184906,1,1,44,12,8,8
185139,1,1,44,12,8,8
185371,1,1,44,12,8,8
185602,1,1,44,12,8,8
185833,1,1,44,12,8,8
186065,1,1,44,12,8,8
186297,1,1,44,12,8,8
186529,1,1,44,12,8,8
186761,1,1,44,12,8,8
186992,1,1,44,12,8,8
187224,1,1,44,12,8,8
187456,1,1,44,12,8,8
187688,1,1,44,12,8,8
187919,1,1,44,12,8,8
188151,1,1,44,12,8,8
188382,1,1,44,12,8,8
188615,1,1,44,12,8,8
188846,1,1,44,12,8,8
189077,1,1,44,12,8,8
189309,1,1,44,12,8,8
189541,1,1,44,12,8,8
189773,1,1,44,12,8,8
190005,1,1,44,12,8,8
190236,1,1,44,12,8,8
190468,1,1,44,12,8,8
190699,1,1,44,12,8,8
190931,1,1,44,12,8,8
191163,1,1,44,12,8,8
191394,1,1,44,12,8,8
191625,1,1,44,12,8,8
191857,1,1,44,12,8,8
192089,1,1,44,12,8,8
192321,1,1,44,12,8,8
192552,1,1,44,12,8,8
192783,1,1,44,12,8,8
193016,1,1,44,12,8,8
193248,1,1,44,12,8,8
193479,1,1,44,12,8,8
193710,1,1,44,12,8,8
