=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.31 11:17:01 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
0,-1,-1,-1,-1,-1
35132,1,2,52,36,8,8
35364,0,-1,-1,-1,-1,-1
35596
35827,0,-1,-1,-1,-1,-1
36060,0,-1,-1,-1,-1,-1
36292,0,-1,-1,-1,-1,-1
36524,0,-1,-1,-1,-1,-1
36756,0,-1,-1,-1,-1,-1
36988,1,2,52,36,8,8
37221,1,2,52,36,8,8
37453,0,-1,-1,-1,-1,-1
37685,0,-1,-1,-1,-1,-1
37917,1,2,52,36,8,8
38149,0,-1,-1,-1,-1,-1
38381,0,-1,-1,-1,-1,-1
38614,0,-1,-1,-1,-1,-1
38846,0,-1,-1,-1,-1,-1
39078,0,-1,-1,-1,-1,-1
39310,0,-1,-1,-1,-1,-1
39542,0,-1,-1,-1,-1,-1
39774,1,2,52,36,8,8
40006,0,-1,-1,-1,-1,-1
40239,0,-1,-1,-1,-1,-1
40470,0,-1,-1,-1,-1,-1
40702,0,-1,-1,-1,-1,-1
40934,0,-1,-1,-1,-1,-1
41167,0,-1,-1,-1,-1,-1
41400,0,-1,-1,-1,-1,-1
41632,0,-1,-1,-1,-1,-1
41865,0,-1,-1,-1,-1,-1
42097,0,-1,-1,-1,-1,-1
42329,0,-1,-1,-1,-1,-1
42562,0,-1,-1,-1,-1,-1
42794,0,-1,-1,-1,-1,-1
43026,0,-1,-1,-1,-1,-1
43257,0,-1,-1,-1,-1,-1
43489,0,-1,-1,-1,-1,-1
43721,0,-1,-1,-1,-1,-1
43953,0,-1,-1,-1,-1,-1
44185,0,-1,-1,-1,-1,-1
44417,0,-1,-1,-1,-1,-1
44649,0,-1,-1,-1,-1,-1
44881,0,-1,-1,-1,-1,-1
45112,0,-1,-1,-1,-1,-1
45345,0,-1,-1,-1,-1,-1
45576,0,-1,-1,-1,-1,-1
45808,0,-1,-1,-1,-1,-1
46041,0,-1,-1,-1,-1,-1
46273,0,-1,-1,-1,-1,-1
46505,0,-1,-1,-1,-1,-1
46738,0,-1,-1,-1,-1,-1
46969,0,-1,-1,-1,-1,-1
47201,0,-1,-1,-1,-1,-1
47433,0,-1,-1,-1,-1,-1
47666,0,-1,-1,-1,-1,-1
47899,0,-1,-1,-1,-1,-1
48130,0,-1,-1,-1,-1,-1
48363,0,-1,-1,-1,-1,-1
48595,0,-1,-1,-1,-1,-1
48827,0,-1,-1,-1,-1,-1
49059,0,-1,-1,-1,-1,-1
49291,0,-1,-1,-1,-1,-1
49523,0,-1,-1,-1,-1,-1
49756,0,-1,-1,-1,-1,-1
49987,0,-1,-1,-1,-1,-1
50219,0,-1,-1,-1,-1,-1
50452,0,-1,-1,-1,-1,-1
50683,0,-1,-1,-1,-1,-1
50916,0,-1,-1,-1,-1,-1
51148,0,-1,-1,-1,-1,-1
51379,0,-1,-1,-1,-1,-1
51611,0,-1,-1,-1,-1,-1
51844,0,-1,-1,-1,-1,-1
52076,0,-1,-1,-1,-1,-1
52307,0,-1,-1,-1,-1,-1
52539,0,-1,-1,-1,-1,-1
52771,0,-1,-1,-1,-1,-1
53003,0,-1,-1,-1,-1,-1
53236,1,2,60,36,8,8
53469,0,-1,-1,-1,-1,-1
53701,0,-1,-1,-1,-1,-1
53932,0,-1,-1,-1,-1,-1
54165,0,-1,-1,-1,-1,-1
54396,0,-1,-1,-1,-1,-1
54628,0,-1,-1,-1,-1,-1
54860,0,-1,-1,-1,-1,-1
