=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.31 11:14:51 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
,0,-1,-1,-1,-1,-1
32809,0,-1,-1,-1,-1,-1
33041,1,2,52,36,8,8
33274,0,-1,-1,-1,-1,-1
33506,1,2,52,36,8,8
33739,1,2,52,36,8,8
33971,1,2,52,36,8,8
34203,1,2,52,36,8,8
34435,1,2,52,36,8,8
34668,1,2,52,36,8,8
34900,1,2,52,36,8,8
35131,1,2,52,36,8,8
35363,1,2,52,36,8,8
35596,1,2,52,36,8,8
35828,1,2,52,36,8,8
36060,1,2,52,36,8,8
36292,1,2,52,36,8,8
36524,1,2,52,36,8,8
36756,1,2,52,36,8,8
36988,1,2,52,36,8,8
37219,1,2,52,36,8,8
37451,1,2,52,36,8,8
37683,0,-1,-1,-1,-1,-1
37915,0,-1,-1,-1,-1,-1
38148,1,2,52,36,8,8
38380,0,-1,-1,-1,-1,-1
38613,0,-1,-1,-1,-1,-1
38845,1,2,52,36,8,8
39078,0,-1,-1,-1,-1,-1
39310,1,2,52,36,8,8
39542,0,-1,-1,-1,-1,-1
39774,1,2,52,36,8,8
40006,0,-1,-1,-1,-1,-1
40238,0,-1,-1,-1,-1,-1
40470,1,2,52,36,8,8
40702,1,2,52,36,8,8
40934,0,-1,-1,-1,-1,-1
41166,0,-1,-1,-1,-1,-1
41398,0,-1,-1,-1,-1,-1
41630,0,-1,-1,-1,-1,-1
41861,1,2,52,36,8,8
42093,0,-1,-1,-1,-1,-1
42325,1,2,52,36,8,8
42557,0,-1,-1,-1,-1,-1
42789,0,-1,-1,-1,-1,-1
43021,0,-1,-1,-1,-1,-1
43253,0,-1,-1,-1,-1,-1
43485,1,2,52,36,8,8
43717,0,-1,-1,-1,-1,-1
43949,0,-1,-1,-1,-1,-1
44181,0,-1,-1,-1,-1,-1
44413,0,-1,-1,-1,-1,-1
44644,0,-1,-1,-1,-1,-1
44876,0,-1,-1,-1,-1,-1
45109,0,-1,-1,-1,-1,-1
45340,0,-1,-1,-1,-1,-1
45572,0,-1,-1,-1,-1,-1
45804,1,1,52,36,8,8
46036,0,-1,-1,-1,-1,-1
46268,0,-1,-1,-1,-1,-1
46500,1,1,52,36,8,8
46732,0,-1,-1,-1,-1,-1
46964,1,1,52,36,8,8
47196,1,1,52,36,8,8
47428,1,1,52,36,8,8
47659,1,1,52,36,8,8
47891,1,1,52,36,8,8
48123,1,1,52,36,8,8
48355,0,-1,-1,-1,-1,-1
48587,1,1,52,36,8,8
48819,0,-1,-1,-1,-1,-1
49051,1,1,52,36,8,8
49284,1,1,52,36,8,8
49516,1,1,52,36,8,8
49748,0,-1,-1,-1,-1,-1
49980,0,-1,-1,-1,-1,-1
