=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.25 00:13:18 =~=~=~=~=~=~=~=~=~=~=~=
0,-1,-1,-1,-1,-1
58034,0,-1,-1,-1,-1,-1
58056,0,-1,-1,-1,-1,-1
58078,0,-1,-1,-1,-1,-1
58100,0,-1,-1,-1,-1,-1
58122,0,-1,-1,-1,-1,-1
58144,0,-1,-1,-1,-1,-1
58166,0,-1,-1,-1,-1,-1
58188,0,-1,-1,-1,-1,-158210,0,-1,-1,-1,-1,-1
58232,0,-1,-1,-1,-1,-1
58254,0,-1,-1,-1,-1,-1
58276,0,-1,-1,-1,-1,-1
58298,0,-1,-1,-1,-1,-1
58320,0,-1,-1,-1,-1,-1
58342,0,-1,-1,-1,-1,-1
58364,0,-1,-1,-1,-1,-1
58386,0,-1,-1,-1,-1,-1
58408,0,-1,-1,-1,-1,-1
58430,0,-1,-1,-1,-1,-1
58452,0,-1,-1,-1,-1,-1
58474,0,-1,-1,-1,-1,-1
58496,0,-1,-1,-1,-1,-1
58518,0,-1,-1,-1,-1,-1
58540,0,-1,-1,-1,-1,-1
58562,0,-1,-1,-1,-1,-1
58584,0,-1,-1,-1,-1,-1
58606,0,-1,-1,-1,-1,-1
58628,0,-1,-1,-1,-1,-1
58650,0,-1,-1,-1,-1,-1
58672,0,-1,-1,-1,-1,-1
58694,0,-1,-1,-1,-1,-1
58716,0,-1,-1,-1,-1,-1
58738,0,-1,-1,-1,-1,-1
58760,0,-1,-1,-1,-1,-1
58782,0,-1,-1,-1,-1,-1
58804,0,-1,-1,-1,-1,-1
58826,0,-1,-1,-1,-1,-1
58848,0,-1,-1,-1,-1,-1
58870,0,-1,-1,-1,-1,-1
58892,0,-1,-1,-1,-1,-1
58914,0,-1,-1,-1,-1,-1
58936,0,-1,-1,-1,-1,-1
58958,0,-1,-1,-1,-1,-1
58980,0,-1,-1,-1,-1,-1
59002,0,-1,-1,-1,-1,-1
59024,0,-1,-1,-1,-1,-1
59046,0,-1,-1,-1,-1,-1
59068,0,-1,-1,-1,-1,-1
59090,0,-1,-1,-1,-1,-1
59112,0,-1,-1,-1,-1,-1
59134,0,-1,-1,-1,-1,-1
59156,0,-1,-1,-1,-1,-1
59178,0,-1,-1,-1,-1,-1
59200,0,-1,-1,-1,-1,-1
59222,0,-1,-1,-1,-1,-1
59244,0,-1,-1,-1,-1,-1
59266,0,-1,-1,-1,-1,-1
59288,0,-1,-1,-1,-1,-1
59310,0,-1,-1,-1,-1,-1
59332,0,-1,-1,-1,-1,-1
59354,0,-1,-1,-1,-1,-1
59376,0,-1,-1,-1,-1,-1
59398,0,-1,-1,-1,-1,-1
59420,0,-1,-1,-1,-1,-1
59442,0,-1,-1,-1,-1,-1
59464,0,-1,-1,-1,-1,-1
59486,0,-1,-1,-1,-1,-1
59508,0,-1,-1,-1,-1,-1
59530,0,-1,-1,-1,-1,-1
59552,0,-1,-1,-1,-1,-1
59574,0,-1,-1,-1,-1,-1
