=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.25 00:04:05 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
0,-1,-1,-1,-1,-1
43630,0,-1,-1,-1,-1,-1
43652,0,-1,-1,-1,-1,-1
43674,0,-1,-1,-1,-1,-1
43696,0,-1,-1,-1,-1,-143718,0,-1,-1,-1,-1,-1
43740,0,-1,-1,-1,-1,-1
43762,0,-1,-1,-1,-1,-1
43784,0,-1,-1,-1,-1,-1
43806,0,-1,-1,-1,-1,-1
43828,0,-1,-1,-1,-1,-1
43850,0,-1,-1,-1,-1,-1
43872,0,-1,-1,-1,-1,-1
43894,0,-1,-1,-1,-1,-1
43916,0,-1,-1,-1,-1,-1
43938,0,-1,-1,-1,-1,-1
43960,0,-1,-1,-1,-1,-1
43982,0,-1,-1,-1,-1,-1
44004,0,-1,-1,-1,-1,-1
44026,0,-1,-1,-1,-1,-1
44048,0,-1,-1,-1,-1,-1
44070,0,-1,-1,-1,-1,-1
44092,0,-1,-1,-1,-1,-1
44114,0,-1,-1,-1,-1,-1
44136,0,-1,-1,-1,-1,-1
44158,0,-1,-1,-1,-1,-1
44180,0,-1,-1,-1,-1,-1
44202,0,-1,-1,-1,-1,-1
44224,0,-1,-1,-1,-1,-1
44246,0,-1,-1,-1,-1,-1
44268,0,-1,-1,-1,-1,-1
44290,0,-1,-1,-1,-1,-1
44312,0,-1,-1,-1,-1,-1
44334,0,-1,-1,-1,-1,-1
44356,0,-1,-1,-1,-1,-1
44378,0,-1,-1,-1,-1,-1
44400,0,-1,-1,-1,-1,-1
44422,0,-1,-1,-1,-1,-1
44444,0,-1,-1,-1,-1,-1
44466,0,-1,-1,-1,-1,-1
44488,0,-1,-1,-1,-1,-1
44510,0,-1,-1,-1,-1,-1
44532,0,-1,-1,-1,-1,-1
44554,0,-1,-1,-1,-1,-1
44576,0,-1,-1,-1,-1,-1
44598,0,-1,-1,-1,-1,-1
44620,0,-1,-1,-1,-1,-1
44642,0,-1,-1,-1,-1,-1
44664,0,-1,-1,-1,-1,-1
44686,0,-1,-1,-1,-1,-1
44708,0,-1,-1,-1,-1,-1
44730,0,-1,-1,-1,-1,-1
44752,0,-1,-1,-1,-1,-1
44774,0,-1,-1,-1,-1,-1
44796,0,-1,-1,-1,-1,-1
44818,0,-1,-1,-1,-1,-1
44840,0,-1,-1,-1,-1,-1
44862,0,-1,-1,-1,-1,-1
44884,0,-1,-1,-1,-1,-1
44906,0,-1,-1,-1,-1,-1
44928,0,-1,-1,-1,-1,-1
44950,0,-1,-1,-1,-1,-1
44972,0,-1,-1,-1,-1,-1
44994,0,-1,-1,-1,-1,-1
45016,0,-1,-1,-1,-1,-1
45038,0,-1,-1,-1,-1,-1
45060,0,-1,-1,-1,-1,-1
45082,0,-1,-1,-1,-1,-1
45104,0,-1,-1,-1,-1,-1
45126,0,-1,-1,-1,-1,-1
45148,0,-1,-1,-1,-1,-1
45170,0,-1,-1,-1,-1,-1
45192,0,-1,-1,-1,-1,-1
45214,0,-1,-1,-1,-1,-1
45236,0,-1,-1,-1,-1,-1
45258,0,-1,-1,-1,-1,-1
45280,0,-1,-1,-1,-1,-1
45302,0,-1,-1,-1,-1,-1
45324,0,-1,-1,-1,-1,-1
45346,0,-1,-1,-1,-1,-1
45368,0,-1,-1,-1,-1,-1
45390,0,-1,-1,-1,-1,-1
45412,0,-1,-1,-1,-1,-1
45434,0,-1,-1,-1,-1,-1
45456,0,-1,-1,-1,-1,-1
45478,0,-1,-1,-1,-1,-1
45500,0,-1,-1,-1,-1,-1
45522,0,-1,-1,-1,-1,-1
45544,0,-1,-1,-1,-1,-1
45566,0,-1,-1,-1,-1,-1
45588,0,-1,-1,-1,-1,-1
45610,0,-1,-1,-1,-1,-1
45632,0,-1,-1,-1,-1,-1
45654,0,-1,-1,-1,-1,-1
45676,0,-1,-1,-1,-1,-1
45698,0,-1,-1,-1,-1,-1
45720,0,-1,-1,-1,-1,-1
45742,0,-1,-1,-1,-1,-1
45764,0,-1,-1,-1,-1,-1
45786,0,-1,-1,-1,-1,-1
45808,0,-1,-1,-1,-1,-1
45830,0,-1,-1,-1,-1,-1
45852,0,-1,-1,-1,-1,-1
45874,0,-1,-1,-1,-1,-1
45896,0,-1,-1,-1,-1,-1
45918,0,-1,-1,-1,-1,-1
45940,0,-1,-1,-1,-1,-1
