=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.24 08:18:03 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
e:61695, ID:1, X:160, Y:137, W:70, H:70
61749, ID:1, X:160, Y:137, W:70, H:70
Time:61803, ID:1, X:160, Y:137, W:70, H:70
Time:61857, ID:1, X:160, Y:137, W:70, H:70
Time:61911, ID:1, X:160, Y:137, W:70, H:70
Time:61965, ID:1, X:160, Y:137, W:70, H:70
Time:62019, ID:1, X:160, Y:137, W:70, H:70
Time:62073, ID:1, X:160, Y:137, W:70, H:70
Time:62127, ID:1, X:160, Y:137, W:70, H:70
Time:62181, ID:1, X:160, Y:137, W:70, H:70
Time:62235, ID:1, X:160, Y:137, W:70, H:70
Time:62289, ID:1, X:160, Y:137, W:70, H:70
Time:62343, ID:1, X:160, Y:137, W:70, H:70
Time:62397, ID:1, X:160, Y:137, W:70, H:70
Time:62451, ID:1, X:160, Y:137, W:70, H:70
Time:62505, ID:1, X:160, Y:137, W:70, H:70
Time:62559, ID:1, X:160, Y:137, W:70, H:70
Time:62613, ID:1, X:160, Y:137, W:70, H:70
Time:62667, ID:1, X:160, Y:136, W:70, H:70
Time:62721, ID:1, X:160, Y:136, W:70, H:70
Time:62775, ID:1, X:160, Y:135, W:70, H:70
Time:62829, ID:1, X:160, Y:135, W:70, H:70
Time:62883, ID:1, X:160, Y:135, W:70, H:70
Time:62937, ID:1, X:160, Y:135, W:70, H:70
Time:62991, ID:1, X:160, Y:135, W:70, H:70
Time:63045, ID:1, X:160, Y:134, W:70, H:70
Time:63099, ID:1, X:160, Y:134, W:70, H:70
Time:63153, ID:1, X:160, Y:134, W:70, H:70
Time:63207, ID:1, X:160, Y:134, W:70, H:70
Time:63261, ID:1, X:160, Y:134, W:70, H:70
Time:63315, ID:1, X:160, Y:134, W:70, H:70
Time:63369, ID:1, X:160, Y:134, W:70, H:70
Time:63423, ID:1, X:160, Y:134, W:70, H:70
Time:63477, ID:1, X:160, Y:134, W:70, H:70
Time:63531, ID:1, X:160, Y:134, W:70, H:70
Time:63585, ID:1, X:160, Y:134, W:70, H:70
Time:63639, ID:1, X:160, Y:134, W:70, H:70
Time:63693, ID:1, X:160, Y:134, W:70, H:70
Time:63747, ID:1, X:160, Y:134, W:70, H:70
