=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.24 08:20:08 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
me:59696, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59749, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59802, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59855, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59908, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:59961, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60014, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60066, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60118, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60170, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60222, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60274, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60326, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60378, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60430, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60482, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60534, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60586, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60638, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60690, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60742, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60794, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60846, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60898, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:60950, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61002, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61054, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61106, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61158, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61210, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61262, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61314, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61366, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61418, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61470, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61522, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61574, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61626, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61678, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61730, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61782, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61834, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61886, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61938, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:61990, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62042, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62094, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62146, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62198, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62250, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62302, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62354, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62406, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62458, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62510, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62562, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62614, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62666, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62718, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62770, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62822, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62874, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62926, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:62978, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63030, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63082, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63134, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63186, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63238, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63290, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63342, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63394, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63446, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63498, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63550, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63602, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63654, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63706, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63758, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63810, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63862, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63914, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:63966, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64018, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64070, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64122, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64174, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64226, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64278, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64330, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64382, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64434, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64486, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64538, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64590, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64642, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64694, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64746, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64798, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64850, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64902, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:64954, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65006, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65058, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65110, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65162, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65214, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65266, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65318, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65370, ID:-1, X:-1, Y:-1, W:-1, H:-1
Time:65422, ID:-1, X:-1, Y:-1, W:-1, H:-1
