=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.02.24 08:26:02 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
06, ID:1, X:123, Y:128, W:83, H:83
Time:37660, ID:1, X:123, Y:128, W:83, H:83
Time:37714, ID:1, X:122, Y:129, W:83, H:83
Time:37768, ID:1, X:122, Y:129, W:83, H:83
Time:37822, ID:1, X:122, Y:129, W:83, H:83
Time:37876, ID:1, X:122, Y:129, W:83, H:83
Time:37930, ID:1, X:122, Y:129, W:83, H:83
Time:37984, ID:1, X:122, Y:129, W:83, H:83
Time:38038, ID:1, X:122, Y:129, W:83, H:83
Time:38092, ID:1, X:122, Y:129, W:83, H:83
Time:38146, ID:1, X:122, Y:129, W:83, H:83
Time:38200, ID:1, X:122, Y:129, W:83, H:83
Time:38254, ID:1, X:122, Y:129, W:83, H:83
Time:38308, ID:1, X:122, Y:129, W:83, H:83
Time:38362, ID:1, X:122, Y:129, W:83, H:83
Time:38416, ID:1, X:122, Y:129, W:83, H:83
Time:38470, ID:1, X:122, Y:130, W:83, H:83
Time:38524, ID:1, X:122, Y:130, W:83, H:83
Time:38578, ID:1, X:122, Y:130, W:83, H:83
Time:38632, ID:1, X:122, Y:130, W:83, H:83
Time:38686, ID:1, X:122, Y:130, W:83, H:83
Time:38740, ID:1, X:122, Y:130, W:83, H:83
Time:38794, ID:1, X:122, Y:131, W:83, H:83
Time:38848, ID:1, X:122, Y:131, W:83, H:83
Time:38902, ID:1, X:123, Y:130, W:83, H:83
Time:38956, ID:1, X:123, Y:130, W:83, H:83
Time:39010, ID:1, X:122, Y:132, W:83, H:83
Time:39064, ID:1, X:122, Y:132, W:83, H:83
Time:39118, ID:1, X:122, Y:133, W:83, H:83
Time:39172, ID:1, X:122, Y:133, W:83, H:83
Time:39226, ID:1, X:122, Y:133, W:83, H:83
Time:39280, ID:1, X:122, Y:133, W:83, H:83
Time:39334, ID:1, X:123, Y:134, W:82, H:82
Time:39388, ID:1, X:123, Y:134, W:82, H:82
Time:39442, ID:1, X:123, Y:133, W:82, H:82
Time:39496, ID:1, X:123, Y:133, W:82, H:82
Time:39550, ID:1, X:123, Y:132, W:82, H:82
Time:39604, ID:1, X:123, Y:132, W:82, H:82
Time:39658, ID:1, X:124, Y:131, W:82, H:82
Time:39712, ID:1, X:124, Y:131, W:82, H:82
Time:39766, ID:1, X:122, Y:132, W:82, H:82
Time:39820, ID:1, X:122, Y:132, W:82, H:82
Time:39874, ID:1, X:123, Y:132, W:82, H:82
Time:39928, ID:1, X:123, Y:132, W:82, H:82
Time:39982, ID:1, X:123, Y:133, W:82, H:82
Time:40036, ID:1, X:123, Y:133, W:82, H:82
Time:40090, ID:1, X:122, Y:134, W:81, H:81
Time:40144, ID:1, X:122, Y:134, W:81, H:81
Time:40198, ID:1, X:122, Y:136, W:81, H:81
Time:40252, ID:1, X:122, Y:136, W:81, H:81
Time:40306, ID:1, X:122, Y:136, W:81, H:81
Time:40360, ID:1, X:122, Y:136, W:81, H:81
Time:40414, ID:1, X:122, Y:136, W:81, H:81
Time:40468, ID:1, X:122, Y:136, W:81, H:81
Time:40522, ID:1, X:122, Y:136, W:81, H:81
Time:40576, ID:1, X:122, Y:136, W:81, H:81
Time:40630, ID:1, X:122, Y:136, W:81, H:81
Time:40684, ID:1, X:123, Y:136, W:81, H:81
Time:40738, ID:1, X:123, Y:136, W:81, H:81
Time:40792, ID:1, X:122, Y:136, W:81, H:81
Time:40846, ID:1, X:122, Y:136, W:81, H:81
Time:40900, ID:1, X:123, Y:135, W:81, H:81
Time:40954, ID:1, X:123, Y:135, W:81, H:81
Time:41008, ID:1, X:123, Y:135, W:81, H:81
Time:41062, ID:1, X:123, Y:135, W:81, H:81
Time:41116, ID:1, X:123, Y:134, W:81, H:81
