=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.02 16:20:18 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
0,-1,-1,-1,-1,-1
46189,0,-1,-1,-1,-1,-1
46369,0,-1,-1,-1,-1,-1
46549,0,-1,-1,-1,-1,-1
46729,0,-1,-1,-1,-1,-1
46909,0,-1,-1,-1,-1,-1
47089,0,-1,-1,-1,-1,-1
47269,0,-1,-1,-1,-1,-1
47449,0,-1,-1,-1,-1,-1
47629,0,-1,-1,-1,-1,-147809,0,-1,-1,-1,-1,-1
47990,0,-1,-1,-1,-1,-1
48170,0,-1,-1,-1,-1,-1
48350,0,-1,-1,-1,-1,-1
48530,0,-1,-1,-1,-1,-1
48710,0,-1,-1,-1,-1,-1
48890,0,-1,-1,-1,-1,-1
49070,0,-1,-1,-1,-1,-1
49250,0,-1,-1,-1,-1,-1
49430,0,-1,-1,-1,-1,-1
49610,0,-1,-1,-1,-1,-1
49790,0,-1,-1,-1,-1,-1
49971,0,-1,-1,-1,-1,-1
50151,0,-1,-1,-1,-1,-1
50331,0,-1,-1,-1,-1,-1
50511,0,-1,-1,-1,-1,-1
50691,0,-1,-1,-1,-1,-1
50871,0,-1,-1,-1,-1,-1
51051,0,-1,-1,-1,-1,-1
51231,0,-1,-1,-1,-1,-1
51411,0,-1,-1,-1,-1,-1
51591,0,-1,-1,-1,-1,-1
51771,0,-1,-1,-1,-1,-1
51952,0,-1,-1,-1,-1,-1
52132,0,-1,-1,-1,-1,-1
52312,0,-1,-1,-1,-1,-1
52492,0,-1,-1,-1,-1,-1
52672,0,-1,-1,-1,-1,-1
52852,0,-1,-1,-1,-1,-1
53032,0,-1,-1,-1,-1,-1
53212,0,-1,-1,-1,-1,-1
53392,0,-1,-1,-1,-1,-1
53572,0,-1,-1,-1,-1,-1
53752,0,-1,-1,-1,-1,-1
53933,0,-1,-1,-1,-1,-1
54113,0,-1,-1,-1,-1,-1
54293,0,-1,-1,-1,-1,-1
54473,0,-1,-1,-1,-1,-1
54653,0,-1,-1,-1,-1,-1
54833,0,-1,-1,-1,-1,-1
55013,0,-1,-1,-1,-1,-1
55193,0,-1,-1,-1,-1,-1
55373,0,-1,-1,-1,-1,-1
55553,0,-1,-1,-1,-1,-1
55733,0,-1,-1,-1,-1,-1
55913,0,-1,-1,-1,-1,-1
56094,0,-1,-1,-1,-1,-1
56274,0,-1,-1,-1,-1,-1
56454,0,-1,-1,-1,-1,-1
56634,0,-1,-1,-1,-1,-1
56814,0,-1,-1,-1,-1,-1
56994,0,-1,-1,-1,-1,-1
57174,0,-1,-1,-1,-1,-1
57354,0,-1,-1,-1,-1,-1
57534,0,-1,-1,-1,-1,-1
57714,0,-1,-1,-1,-1,-1
57894,0,-1,-1,-1,-1,-1
58075,0,-1,-1,-1,-1,-1
58255,0,-1,-1,-1,-1,-1
58435,0,-1,-1,-1,-1,-1
58615,0,-1,-1,-1,-1,-1
58795,0,-1,-1,-1,-1,-1
58975,0,-1,-1,-1,-1,-1
59155,0,-1,-1,-1,-1,-1
59335,0,-1,-1,-1,-1,-1
59515,0,-1,-1,-1,-1,-1
59695,0,-1,-1,-1,-1,-1
59875,0,-1,-1,-1,-1,-1
60056,0,-1,-1,-1,-1,-1
60236,0,-1,-1,-1,-1,-1
60416,0,-1,-1,-1,-1,-1
60596,0,-1,-1,-1,-1,-1
60776,0,-1,-1,-1,-1,-1
60956,0,-1,-1,-1,-1,-1
61136,0,-1,-1,-1,-1,-1
61316,0,-1,-1,-1,-1,-1
61496,0,-1,-1,-1,-1,-1
61676,0,-1,-1,-1,-1,-1
61856,0,-1,-1,-1,-1,-1
62037,0,-1,-1,-1,-1,-1
62217,0,-1,-1,-1,-1,-1
62397,0,-1,-1,-1,-1,-1
62577,0,-1,-1,-1,-1,-1
62757,0,-1,-1,-1,-1,-1
62937,0,-1,-1,-1,-1,-1
63117,0,-1,-1,-1,-1,-1
63297,0,-1,-1,-1,-1,-1
63477,0,-1,-1,-1,-1,-1
63657,0,-1,-1,-1,-1,-1
63837,0,-1,-1,-1,-1,-1
64018,0,-1,-1,-1,-1,-1
64198,0,-1,-1,-1,-1,-1
64378,0,-1,-1,-1,-1,-1
64558,0,-1,-1,-1,-1,-1
64738,0,-1,-1,-1,-1,-1
64918,0,-1,-1,-1,-1,-1
65098,0,-1,-1,-1,-1,-1
65278,0,-1,-1,-1,-1,-1
65458,0,-1,-1,-1,-1,-1
65638,0,-1,-1,-1,-1,-1
65818,0,-1,-1,-1,-1,-1
65999,0,-1,-1,-1,-1,-1
66179,0,-1,-1,-1,-1,-1
66359,0,-1,-1,-1,-1,-1
66539,0,-1,-1,-1,-1,-1
66719,0,-1,-1,-1,-1,-1
66899,0,-1,-1,-1,-1,-1
67079,0,-1,-1,-1,-1,-1
67259,0,-1,-1,-1,-1,-1
67439,0,-1,-1,-1,-1,-1
67619,0,-1,-1,-1,-1,-1
67799,0,-1,-1,-1,-1,-1
67980,0,-1,-1,-1,-1,-1
68160,0,-1,-1,-1,-1,-1
68340,0,-1,-1,-1,-1,-1
68520,0,-1,-1,-1,-1,-1
68700,0,-1,-1,-1,-1,-1
68880,0,-1,-1,-1,-1,-1
69060,0,-1,-1,-1,-1,-1
69240,0,-1,-1,-1,-1,-1
69420,0,-1,-1,-1,-1,-1
69600,0,-1,-1,-1,-1,-1
69780,0,-1,-1,-1,-1,-1
