=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.26 05:28:07 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
,0,-1,-1,-1,-1,-1
75645,1,1,28,60,8,8
75841,0,-1,-1,-1,-1,-1
76036,0,-1,-1,-1,-1,-1
76229,0,-1,-1,-1,-1,-1
76424,0,-1,-1,-1,-1,-1
76620,0,-1,-1,-1,-1,-1
76816,0,-1,-1,-1,-1,-1
77011,0,-1,-1,-1,-1,-1
77206,0,-1,-1,-1,-1,-1
77400,0,-1,-1,-1,-1,-1
77595,0,-1,-1,-1,-1,-1
77791,0,-1,-1,-1,-1,-1
77986,0,-1,-1,-1,-1,-1
78182,0,-1,-1,-1,-1,-1
78377,0,-1,-1,-1,-1,-1
78570,0,-1,-1,-1,-1,-1
78765,1,1,28,60,8,8
78961,0,-1,-1,-1,-1,-1
79157,0,-1,-1,-1,-1,-1
79352,0,-1,-1,-1,-1,-1
79547,0,-1,-1,-1,-1,-1
79741,0,-1,-1,-1,-1,-1
79936,0,-1,-1,-1,-1,-1
80132,1,1,44,20,8,8
80132,2,1,60,52,8,8
80327,0,-1,-1,-1,-1,-1
80523,0,-1,-1,-1,-1,-1
80718,0,-1,-1,-1,-1,-1
80911,0,-1,-1,-1,-1,-1
81106,0,-1,-1,-1,-1,-1
81302,0,-1,-1,-1,-1,-1
81498,0,-1,-1,-1,-1,-1
81693,0,-1,-1,-1,-1,-1
81888,0,-1,-1,-1,-1,-1
82082,0,-1,-1,-1,-1,-1
82277,0,-1,-1,-1,-1,-1
82473,1,1,12,44,8,8
82668,0,-1,-1,-1,-1,-1
82863,0,-1,-1,-1,-1,-1
83058,0,-1,-1,-1,-1,-1
83254,0,-1,-1,-1,-1,-1
83449,0,-1,-1,-1,-1,-1
83644,0,-1,-1,-1,-1,-1
83839,0,-1,-1,-1,-1,-1
84035,0,-1,-1,-1,-1,-1
84230,0,-1,-1,-1,-1,-1
84423,0,-1,-1,-1,-1,-1
84618,0,-1,-1,-1,-1,-1
84814,0,-1,-1,-1,-1,-1
85009,1,1,36,84,8,8
85204,1,1,52,44,8,8
85400,1,1,60,44,8,8
85593,0,-1,-1,-1,-1,-1
85789,0,-1,-1,-1,-1,-1
85984,0,-1,-1,-1,-1,-1
86180,1,1,20,52,8,8
86375,0,-1,-1,-1,-1,-1
86570,0,-1,-1,-1,-1,-1
86765,0,-1,-1,-1,-1,-1
86961,1,1,84,52,8,8
87156,1,1,84,52,8,8
87352,0,-1,-1,-1,-1,-1
87547,0,-1,-1,-1,-1,-1
87742,0,-1,-1,-1,-1,-1
87935,1,1,84,60,8,8
88131,1,1,20,36,8,8
88131,2,1,68,60,8,8
88327,1,1,44,84,8,8
88522,0,-1,-1,-1,-1,-1
88718,1,1,52,52,8,8
88913,0,-1,-1,-1,-1,-1
89106,1,2,28,60,8,8
89302,0,-1,-1,-1,-1,-1
89497,0,-1,-1,-1,-1,-1
89693,0,-1,-1,-1,-1,-1
89888,0,-1,-1,-1,-1,-1
90083,0,-1,-1,-1,-1,-1
90276,1,1,12,60,8,8
90472,0,-1,-1,-1,-1,-1
90667,0,-1,-1,-1,-1,-1
90863,1,1,28,52,8,8
91059,0,-1,-1,-1,-1,-1
91253,0,-1,-1,-1,-1,-1
91447,0,-1,-1,-1,-1,-1
91642,0,-1,-1,-1,-1,-1
91838,0,-1,-1,-1,-1,-1
92034,1,1,36,52,8,8
92229,1,2,28,56,8,16
92229,2,1,44,52,8,8
92425,1,2,36,60,8,8
92618,0,-1,-1,-1,-1,-1
92813,0,-1,-1,-1,-1,-1
93009,0,-1,-1,-1,-1,-1
93204,0,-1,-1,-1,-1,-1
93400,0,-1,-1,-1,-1,-1
93594,0,-1,-1,-1,-1,-1
93788,1,1,60,52,8,8
93983,0,-1,-1,-1,-1,-1
94179,1,2,28,60,8,8
94375,0,-1,-1,-1,-1,-1
94570,1,2,28,60,8,8
94765,0,-1,-1,-1,-1,-1
94959,0,-1,-1,-1,-1,-1
95154,1,1,44,28,8,8
95350,1,1,44,28,8,8
95545,1,1,12,52,8,8
95741,0,-1,-1,-1,-1,-1
95936,0,-1,-1,-1,-1,-1
96129,0,-1,-1,-1,-1,-1
96325,0,-1,-1,-1,-1,-1
96520,1,1,44,36,8,8
96716,1,1,36,28,8,8
96716,2,1,28,52,8,8
96912,1,1,44,44,8,8
97107,0,-1,-1,-1,-1,-1
97300,1,2,28,60,8,8
97496,0,-1,-1,-1,-1,-1
97691,0,-1,-1,-1,-1,-1
97887,0,-1,-1,-1,-1,-1
98082,1,2,28,52,8,8
98082,2,3,28,60,8,8
98278,0,-1,-1,-1,-1,-1
98471,0,-1,-1,-1,-1,-1
98666,0,-1,-1,-1,-1,-1
98861,0,-1,-1,-1,-1,-1
99057,0,-1,-1,-1,-1,-1
99252,0,-1,-1,-1,-1,-1
99447,0,-1,-1,-1,-1,-1
99641,1,1,44,44,8,8
99836,0,-1,-1,-1,-1,-1
100032,1,2,32,60,16,8
100228,1,2,28,56,8,16
100423,0,-1,-1,-1,-1,-1
100618,0,-1,-1,-1,-1,-1
100812,0,-1,-1,-1,-1,-1
101007,0,-1,-1,-1,-1,-1
101203,0,-1,-1,-1,-1,-1
101398,0,-1,-1,-1,-1,-1
101594,1,1,28,52,8,8
101789,1,1,28,52,8,8
101982,1,2,28,36,8,8
101982,2,1,52,36,8,8
102178,1,2,28,36,8,8
102374,0,-1,-1,-1,-1,-1
102569,1,1,44,36,8,8
102569,2,2,28,52,8,8
102765,1,2,28,48,8,16
102960,0,-1,-1,-1,-1,-1
103153,0,-1,-1,-1,-1,-1
103349,1,1,36,36,8,8
103349,2,2,20,52,8,8
103544,1,2,20,52,8,8
103740,0,-1,-1,-1,-1,-1
103935,1,1,28,28,8,8
103935,2,2,12,52,8,8
104131,0,-1,-1,-1,-1,-1
104324,0,-1,-1,-1,-1,-1
104519,1,3,4,52,8,8
104715,0,-1,-1,-1,-1,-1
104910,1,2,12,44,8,8
105106,0,-1,-1,-1,-1,-1
105301,1,2,20,44,8,8
105494,1,2,20,44,8,8
105690,1,2,28,44,8,8
105885,0,-1,-1,-1,-1,-1
106081,1,2,28,44,8,8
