=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.03.04 13:27:43 =~=~=~=~=~=~=~=~=~=~=~=
ESP-ROM:esp32s3-20210327
,1,3,129,,44,21
86893,1,3,128,69,44,22
87074,1,3,120,73,45,18
87254,1,3,122,73,45,21
87434,1,3,112,70,45,22
87614,1,3,105,69,43,21
87794,1,3,99,63,47,22
87974,1,3,104,52,48,20
88154,1,3,100,43,49,28
88334,1,3,108,47,49,26
88514,1,3,107,48,47,25
88694,1,3,105,49,47,23
88874,1,3,99,48,47,24
89055,1,3,99,42,47,26
89235,1,3,102,40,49,25
89415,1,3,98,38,49,28
89595,1,3,100,35,49,26
89775,1,3,104,35,49,24
89955,1,3,101,32,51,28
90135,1,3,106,33,49,27
90315,1,3,109,26,51,29
90495,0,-1,-1,-1,-1,-1
90675,1,3,100,64,45,24
90855,1,3,116,56,42,19
91036,0,-1,-1,-1,-1,-1
91216,1,3,132,101,41,22
91396,1,3,136,89,41,25
91576,1,3,135,87,43,25
91756,1,3,127,75,43,14
91936,1,3,129,69,43,26
92116,1,3,133,63,39,19
92296,1,3,138,66,45,16
92476,1,3,139,67,43,22
92656,1,3,135,71,43,26
92837,1,3,129,68,43,25
93017,1,3,128,67,45,26
93197,1,3,126,63,45,26
93377,0,-1,-1,-1,-1,-1
93557,0,-1,-1,-1,-1,-1
93737,1,3,84,58,22,17
93917,1,3,70,62,29,25
94097,1,3,45,60,46,23
94277,1,3,29,63,55,29
94457,1,3,22,65,45,29
94637,1,3,17,65,35,30
94818,1,3,17,69,35,28
94998,1,3,18,65,37,27
95178,1,3,20,57,41,26
95358,1,3,34,67,49,26
95538,1,3,41,69,48,27
95718,1,3,57,79,39,22
95898,0,-1,-1,-1,-1,-1
96078,0,-1,-1,-1,-1,-1
96258,0,-1,-1,-1,-1,-1
96438,0,-1,-1,-1,-1,-1
96618,0,-1,-1,-1,-1,-1
96798,0,-1,-1,-1,-1,-1
96978,1,3,176,49,17,12
97159,1,3,205,57,39,25
97339,1,3,206,59,41,26
97519,1,3,205,54,39,25
97699,1,3,205,57,39,27
97879,1,3,203,53,38,27
98059,1,3,199,50,35,27
98239,1,3,177,37,22,13
98419,0,-1,-1,-1,-1,-1
98599,0,-1,-1,-1,-1,-1
98779,0,-1,-1,-1,-1,-1
98959,1,3,70,31,42,22
99140,1,3,47,28,46,23
99320,1,3,35,26,55,32
99500,1,3,29,24,55,31
99680,1,3,28,25,57,32
99860,1,3,28,25,57,32
100040,1,3,35,23,55,31
100220,1,3,44,21,53,28
100400,1,3,57,18,52,29
100580,1,3,74,20,45,20
100760,0,-1,-1,-1,-1,-1
100940,1,3,108,17,45,20
101120,1,3,123,15,47,27
101301,1,3,134,14,45,28
101481,1,3,145,12,47,25
101661,1,3,148,13,45,27
101841,1,3,152,10,45,21
102021,1,3,144,9,45,19
102201,1,3,132,16,45,29
102381,0,-1,-1,-1,-1,-1
102561,0,-1,-1,-1,-1,-1
102741,0,-1,-1,-1,-1,-1
102921,0,-1,-1,-1,-1,-1
